slug	name	category	url	type	source
alcoa	Alcoa	strong:type	https://www.alcoa.com/global/en/what-we-do/products-and-solutions	Portal	common
alliance-resource-partners	Alliance Resource Partners	medium:url-host	https://developer.arlp.com/docs	Documentation	api
amazon	Amazon	strong:type	https://developer.amazon.com/	Portal	common
amazon	Amazon	medium:url-host	https://developer.amazon.com/docs/	Documentation	common
amazon	Amazon	medium:url-host	https://developer.amazon.com/support/legal/da	TermsOfService	common
amazon	Amazon	medium:url-host	https://developer.amazon.com/support	Support	common
amazon	Amazon	medium:url-host	https://developer.amazon.com/dashboard	Console	common
amazon	Amazon	medium:url-host	https://developer.amazon.com/login	Login	common
amazon	Amazon	medium:url-host	https://developer.amazon.com/blogs/	Blog	common
amazon	Amazon	weak:url-path	https://advertising.amazon.com/API/docs/en-us/reference/api-overview	Documentation	api
amazon	Amazon	medium:url-host	https://developer.amazon.com/docs/amazon-pay-api-v2/introduction.html	Documentation	api
amazon	Amazon	medium:url-host	https://developer.amazon.com/en-US/docs/alexa/rest-apis/rest-apis.html	Documentation	api
amazon	Amazon	medium:url-host	https://www.developer.amazon.com/docs/apps-and-games/documentation.html	Documentation	api
amc-entertainment-holdings	AMC Entertainment Holdings	strong:type	https://developers.amctheatres.com	DeveloperPortal	common
amc-entertainment-holdings	AMC Entertainment Holdings	medium:url-host	https://developers.amctheatres.com/GettingStarted/Authentication	Authentication	api
amc-entertainment-holdings	AMC Entertainment Holdings	medium:url-host	https://developers.amctheatres.com/GettingStarted/Sandbox	Sandbox	api
amc-networks	AMC Networks	strong:type	https://affiliate.amcnetworks.com/	Portal	common
amerco	AMERCO	strong:type	https://www.uhaul.com/Dealer/	Portal	common
ameren	Ameren	strong:type	https://www.ameren.com/partners/account-and-data/share-my-usage	Portal	common
ameren	Ameren	weak:url-path	https://www.ameren.com/service/renewables/developers/renewables-portal	Documentation	api
ameren	Ameren	strong:type	https://anm.ameren.com/illinois/registration	Portal	api
american-airlines	American Airlines	strong:type	https://developer.aa.com/	DeveloperPortal	common
american-axle-and-manufacturing	American Axle and Manufacturing	strong:type	https://www.aam.com/suppliers	Portal	common
american-axle-and-manufacturing	American Axle and Manufacturing	strong:type	https://www.aam.com/suppliers/doing-business-with-aam/isupplier-faq	Portal	api
american-axle-and-manufacturing	American Axle and Manufacturing	strong:type	https://www.demandaam.com/	Portal	api
american-eagle-outfitters	American Eagle Outfitters	strong:type	https://www.americaneagle.com	Portal	common
american-electric-power	American Electric Power	strong:type	https://www.aep.com/about	Portal	common
american-equity-investment-life-holding	American Equity Investment Life Holding	strong:type	https://register.american-equity.com	Portal	common
american-express	American Express	strong:type	https://developer.americanexpress.com/	Portal	common
american-express	American Express	medium:url-host	https://developer.americanexpress.com/support	Support	common
american-express	American Express	medium:url-host	https://developer.americanexpress.com/signup	SignUp	common
american-express	American Express	medium:url-host	https://developer.americanexpress.com/documentation/getting-started	GettingStarted	common
american-express	American Express	medium:url-host	https://developer.americanexpress.com/documentation/whats-new	WhatsNew	common
american-express	American Express	medium:url-host	https://developer.americanexpress.com/documentation/api-security/certificates	Authentication	common
american-express	American Express	medium:url-host	https://developer.americanexpress.com/documentation/api-security/hmac	Authentication	common
american-express	American Express	medium:url-host	https://developer.americanexpress.com/documentation/api-security/oauth-2	Authentication	common
american-express	American Express	medium:url-host	https://developer.americanexpress.com/faq	FAQ	common
american-express	American Express	medium:url-host	https://developer.americanexpress.com/terms	TermsOfService	common
american-express	American Express	medium:url-host	https://developer.americanexpress.com/products	Products	common
american-express	American Express	medium:url-host	https://developer.americanexpress.com/products/amex-token-service/overview	Documentation	api
american-express	American Express	medium:url-host	https://developer.americanexpress.com/products/account-and-transaction-api-public/overview	Documentation	api
american-express	American Express	medium:url-host	https://developer.americanexpress.com/products/confirmation-of-funds/overview	Documentation	api
american-express	American Express	medium:url-host	https://developer.americanexpress.com/products/at-work-apis-public/overview	Documentation	api
american-express	American Express	medium:url-host	https://developer.americanexpress.com/products/nextgen-card-on-demand/resources	Documentation	api
american-express	American Express	medium:url-host	https://developer.americanexpress.com/documentation	Documentation	api
american-express	American Express	medium:url-host	https://developer.americanexpress.com/products/payment-account-reference-public/overview	Documentation	api
american-express	American Express	medium:url-host	https://developer.americanexpress.com/products/smart-offer-partnerships-public/overview	Documentation	api
american-express	American Express	medium:url-host	https://developer.americanexpress.com/products/nextgen-amex-account-connect/overview	Documentation	api
american-express	American Express	medium:url-host	https://developer.americanexpress.com/products/network-loyalty/overview	Documentation	api
american-family-insurance	American Family Insurance	strong:type	https://b2b.amfam.com	Portal	common
american-water-works	American Water Works	strong:type	https://www.amwater.com/mywater	Portal	common
americold-realty-trust	Americold Realty Trust	strong:type	https://www.i-3pl.com/login	Portal	common
ameriprise-financial	Ameriprise Financial	strong:type	https://www.ameriprise.com	Portal	common
ametek	AMETEK	strong:type	https://www.ametek.com	Portal	common
amgen	Amgen	strong:type	https://www.amgen.com	Portal	common
amica-mutual-insurance	Amica Mutual Insurance	strong:type	https://www.amica.com	Portal	common
